FuncID;VraagId
1;1
1;2
1;3
1;4
1;5
1;6
1;7
1;8
1;9
1;1
1;11
1;12
1;13
1;14
1;15
1;16
1;17
1;18
1;19
1;2
1;21
1;22
1;23
1;24
1;25
1;26
1;27
1;28
1;29
1;3
1;31
1;32
1;33
1;34
1;35
2;36
2;37
2;38
2;39
2;4
2;41
2;42
2;43
2;44
2;45
2;46
2;47
2;48
2;49
2;5
2;51
2;52
2;53
2;54
2;55
2;56
2;57
2;58
2;59
2;6
2;61
2;62
2;63
2;64
2;65
3;51
3;52
3;53
3;54
3;55
3;61
3;62
3;63
3;64
3;65
3;66
3;67
3;68
3;69
3;7
3;71
3;72
3;73
3;74
3;75
3;76
3;77
3;78
3;79
3;8
3;81
3;82
3;83
3;84
3;85
3;1
3;2
3;3
3;4
3;5
4;86
4;87
4;88
4;89
4;9
4;46
4;47
4;48
4;49
4;5
4;41
4;42
4;43
4;44
4;45
4;51
4;52
4;53
4;54
4;55
4;71
4;72
4;73
4;74
4;75
5;51
5;52
5;53
5;54
5;55
5;71
5;72
5;73
5;74
5;75
5;36
5;37
5;38
5;39
5;4
5;91
5;92
5;93
5;94
5;95
5;6
5;7
5;8
5;9
5;1
5;66
5;67
5;68
5;69
5;7
5;96
5;97
5;98
5;99
5;1
6;86
6;87
6;88
6;89
6;9
6;46
6;47
6;48
6;49
6;5
6;41
6;42
6;43
6;44
6;45
6;51
6;52
6;53
6;54
6;55
6;81
6;82
6;83
6;84
6;85
6;101
6;102
6;103
6;104
6;105
6;106
6;107
6;108
6;109
6;11
6;31
6;32
6;33
6;34
6;35
7;111
7;112
7;113
7;114
7;115
7;116
7;117
7;118
7;119
7;12
7;121
7;122
7;123
7;124
7;125
7;126
7;127
7;128
7;129
7;13
7;51
7;52
7;53
7;54
7;55
7;81
7;82
7;83
7;84
7;85
7;101
7;102
7;103
7;104
7;105
7;106
7;107
7;108
7;109
7;11
7;31
7;32
7;33
7;34
7;35
8;131
8;132
8;133
8;134
8;135
8;136
8;137
8;138
8;139
8;14
8;36
8;37
8;38
8;39
8;4
8;51
8;52
8;53
8;54
8;55
8;76
8;77
8;78
8;79
8;8
8;26
8;27
8;28
8;29
8;3
8;31
8;32
8;33
8;34
8;35
9;131
9;132
9;133
9;134
9;135
9;136
9;137
9;138
9;139
9;14
9;36
9;37
9;38
9;39
9;4
9;61
9;62
9;63
9;64
9;65
9;51
9;52
9;53
9;54
9;55
9;66
9;67
9;68
9;69
9;7
9;71
9;72
9;73
9;74
9;75
9;31
9;32
9;33
9;34
9;35
10;81
10;82
10;83
10;84
10;85
10;56
10;57
10;58
10;59
10;6
10;46
10;47
10;48
10;49
10;5
10;51
10;52
10;53
10;54
10;55
10;71
10;72
10;73
10;74
10;75
11;141
11;142
11;143
11;144
11;145
11;101
11;102
11;103
11;104
11;105
11;81
11;82
11;83
11;84
11;85
11;51
11;52
11;53
11;54
11;55
11;71
11;72
11;73
11;74
11;75
12;131
12;132
12;133
12;134
12;135
12;136
12;137
12;138
12;139
12;14
12;36
12;37
12;38
12;39
12;4
12;146
12;147
12;148
12;149
12;15
12;31
12;32
12;33
12;34
12;35
12;151
12;152
12;153
12;154
12;155
12;156
12;157
12;158
12;159
12;16
12;161
12;162
12;163
12;164
12;165
13;81
13;82
13;83
13;84
13;85
13;71
13;72
13;73
13;74
13;75
13;151
13;152
13;153
13;154
13;155
13;31
13;32
13;33
13;34
13;35
13;166
13;167
13;168
13;169
13;17
13;136
13;137
13;138
13;139
13;14
14;136
14;137
14;138
14;139
14;14
14;81
14;82
14;83
14;84
14;85
14;71
14;72
14;73
14;74
14;75
14;56
14;57
14;58
14;59
14;6
14;151
14;152
14;153
14;154
14;155
15;131
15;132
15;133
15;134
15;135
15;136
15;137
15;138
15;139
15;14
15;36
15;37
15;38
15;39
15;4
15;81
15;82
15;83
15;84
15;85
15;71
15;72
15;73
15;74
15;75
15;101
15;102
15;103
15;104
15;105
15;56
15;57
15;58
15;59
15;6
15;151
15;152
15;153
15;154
15;155
15;31
15;32
15;33
15;34
15;35
16;131
16;132
16;133
16;134
16;135
16;136
16;137
16;138
16;139
16;14
16;36
16;37
16;38
16;39
16;4
16;81
16;82
16;83
16;84
16;85
16;71
16;72
16;73
16;74
16;75
16;101
16;102
16;103
16;104
16;105
16;56
16;57
16;58
16;59
16;6
16;151
16;152
16;153
16;154
16;155
16;31
16;32
16;33
16;34
16;35
17;101
17;102
17;103
17;104
17;105
17;31
17;32
17;33
17;34
17;35
17;46
17;47
17;48
17;49
17;5
17;106
17;107
17;108
17;109
17;11
17;76
17;77
17;78
17;79
17;8
17;151
17;152
17;153
17;154
17;155
18;11
18;12
18;13
18;14
18;15
18;16
18;17
18;18
18;19
18;2
18;91
18;92
18;93
18;94
18;95
18;146
18;147
18;148
18;149
18;15
18;171
18;172
18;173
18;174
18;175
18;176
18;177
18;178
18;179
18;18
18;151
18;152
18;153
18;154
18;155
18;181
18;182
18;183
18;184
18;185
18;126
18;127
18;128
18;129
18;13
18;186
18;187
18;188
18;189
18;19
19;11
19;12
19;13
19;14
19;15
19;16
19;17
19;18
19;19
19;2
19;91
19;92
19;93
19;94
19;95
19;51
19;52
19;53
19;54
19;55
19;191
19;192
19;193
19;194
19;195
19;136
19;137
19;138
19;139
19;14
19;71
19;72
19;73
19;74
19;75
20;131
20;132
20;133
20;134
20;135
20;136
20;137
20;138
20;139
20;14
20;36
20;37
20;38
20;39
20;4
20;51
20;52
20;53
20;54
20;55
20;191
20;192
20;193
20;194
20;195
20;76
20;77
20;78
20;79
20;8
21;11
21;12
21;13
21;14
21;15
21;16
21;17
21;18
21;19
21;2
21;91
21;92
21;93
21;94
21;95
21;51
21;52
21;53
21;54
21;55
21;71
21;72
21;73
21;74
21;75
21;41
21;42
21;43
21;44
21;45
22;196
22;197
22;198
22;199
22;2
22;121
22;122
22;123
22;124
22;125
22;201
22;202
22;203
22;204
22;205
22;51
22;52
22;53
22;54
22;55
22;81
22;82
22;83
22;84
22;85
23;131
23;132
23;133
23;134
23;135
23;136
23;137
23;138
23;139
23;14
23;36
23;37
23;38
23;39
23;4
23;31
23;32
23;33
23;34
23;35
23;26
23;27
23;28
23;29
23;3
23;176
23;177
23;178
23;179
23;18
23;196
23;197
23;198
23;199
23;2
23;76
23;77
23;78
23;79
23;8
23;51
23;52
23;53
23;54
23;55
23;66
23;67
23;68
23;69
23;7
23;71
23;72
23;73
23;74
23;75
24;51
24;52
24;53
24;54
24;55
24;71
24;72
24;73
24;74
24;75
24;66
24;67
24;68
24;69
24;7
24;166
24;167
24;168
24;169
24;17
24;106
24;107
24;108
24;109
24;11
24;46
24;47
24;48
24;49
24;5
24;156
24;157
24;158
24;159
24;16
25;131
25;132
25;133
25;134
25;135
25;136
25;137
25;138
25;139
25;14
25;36
25;37
25;38
25;39
25;4
25;61
25;62
25;63
25;64
25;65
25;96
25;97
25;98
25;99
25;1
25;126
25;127
25;128
25;129
25;13
25;81
25;82
25;83
25;84
25;85
25;31
25;32
25;33
25;34
25;35
26;56
26;57
26;58
26;59
26;6
26;51
26;52
26;53
26;54
26;55
26;61
26;62
26;63
26;64
26;65
26;96
26;97
26;98
26;99
26;1
26;76
26;77
26;78
26;79
26;8
26;31
26;32
26;33
26;34
26;35
26;36
26;37
26;38
26;39
26;4
26;41
26;42
26;43
26;44
26;45
27;11
27;12
27;13
27;14
27;15
27;16
27;17
27;18
27;19
27;2
27;91
27;92
27;93
27;94
27;95
27;151
27;152
27;153
27;154
27;155
27;101
27;102
27;103
27;104
27;105
27;81
27;82
27;83
27;84
27;85
27;106
27;107
27;108
27;109
27;11
27;51
27;52
27;53
27;54
27;55
28;131
28;132
28;133
28;134
28;135
28;136
28;137
28;138
28;139
28;14
28;36
28;37
28;38
28;39
28;4
28;51
28;52
28;53
28;54
28;55
29;131
29;132
29;133
29;134
29;135
29;136
29;137
29;138
29;139
29;14
29;36
29;37
29;38
29;39
29;4
29;191
29;192
29;193
29;194
29;195
29;81
29;82
29;83
29;84
29;85
29;76
29;77
29;78
29;79
29;8
29;71
29;72
29;73
29;74
29;75
29;181
29;182
29;183
29;184
29;185
